k,coordinates,cluster_id,mse,center,radius
1,"[2.18, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.593713134225304
1,"[1.64, 14.0]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.098521319626161
1,"[1.5, 14.0]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.1569339769097042
1,"[4.36, 17.3]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",3.250405741108342
1,"[1.34, 13.3]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.8598728797659494
1,"[2.03, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.5771940166100628
1,"[2.1, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.5801546036902632
1,"[1.88, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.5990079964986118
1,"[2.83, 17.3]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",2.4100716756623792
1,"[1.3, 13.3]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.875305086673785
1,"[2.77, 17.3]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",2.3910894045713973
1,"[2.2, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.598727205114141
1,"[1.4, 11.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",3.482316863344292
1,"[2.3, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.6327473177379537
1,"[3.31, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.394491906720328
1,"[2.4, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.6799000441721997
1,"[1.45, 13.3]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.8212939139649449
1,"[2.0, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.5785191977991933
1,"[2.2, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.598727205114141
1,"[2.37, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.6645265980208196
1,"[2.15, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.5873898323629704
1,"[4.14, 17.3]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",3.0972517975644704
1,"[2.0, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.5785191977991933
1,"[2.08, 15.0]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.04563701055093476
1,"[1.86, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.6046747881937232
1,"[1.17, 11.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",3.5318652950278584
1,"[1.36, 14.0]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.2285940599657017
1,"[1.1, 14.0]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.3895742582118333
1,"[2.14, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.5856085082777743
1,"[2.24, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.6105998910318479
1,"[1.7, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.6700744408943451
1,"[1.13, 14.0]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.3694470014108624
1,"[2.45, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.707609723679481
1,"[2.2, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.598727205114141
1,"[1.2, 13.3]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.9169961570498226
1,"[2.2, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.598727205114141
1,"[1.6, 14.0]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.1137284807747752
1,"[2.5, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.737671317068885
1,"[2.56, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.7764637230435264
1,"[0.69, 10.1]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",5.104790183265459
1,"[1.99, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.5793055946787875
1,"[1.91, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.5916747843685045
1,"[1.49, 13.3]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.808720399019722
1,"[2.5, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.737671317068885
1,"[2.06, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.577426535066317
1,"[1.54, 14.0]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.1387950595749956
1,"[2.2, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.598727205114141
1,"[1.38, 14.0]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.217629806047455
1,"[2.54, 17.3]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",2.331233636112819
1,"[2.71, 17.3]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",2.373472477084394
1,"[1.37, 13.3]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.8487821936283142
1,"[1.64, 14.0]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.098521319626161
1,"[2.4, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.6799000441721997
1,"[2.8, 17.3]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",2.4004118420058327
1,"[2.3, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.6327473177379537
1,"[2.2, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.598727205114141
1,"[2.21, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.6014680010938812
1,"[2.2, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.598727205114141
1,"[2.4, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.6799000441721997
1,"[1.74, 14.0]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.0661350719463207
1,"[2.0, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.5785191977991933
1,"[1.25, 11.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",3.5130027588646797
1,"[0.92, 12.0]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",3.2238972748356622
1,"[2.23, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.6074065662569231
1,"[1.7, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.6700744408943451
1,"[2.3, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.6327473177379537
1,"[2.3, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.6327473177379537
1,"[2.13, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.5839930091801113
1,"[1.4, 14.0]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.2068973962053775
1,"[2.02, 14.0]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.023107871694956
1,"[2.23, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.6074065662569231
1,"[2.2, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.598727205114141
1,"[2.2, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.598727205114141
1,"[2.2, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.598727205114141
1,"[1.7, 14.0]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.0780937022586083
1,"[2.62, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.8178220187663602
1,"[1.88, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.5990079964986118
1,"[2.06, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.577426535066317
1,"[1.58, 13.3]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.783388598593915
